year,date,region,site,distance_m,blade_sample_id,macrophyte,shoot_length_cm,broken,shoot_width_cm,blades,foil_wgt_g,wet_wgt_g,dry_wgt_g,final_dry_g,photo,notes,oven_date,QAQC_date,QAQC_Initials
2015,29-Jul,choked,alcove,0,81,zostera,121.9,N,0.8,4,2.04,12.18,3.67,1.63,N,,,,
2015,08-Jul,choked,flat,0,114,zostera,122.2,N,0.8,5,1.75,21.48,4.29,2.54,UNK,duplicate name,,,
2015,07-Jul,choked,inner derek,10,220,zostera,122.6,N,0.7,3,1.73,13.9,3.3,1.57,Y,,,,
2015,01-Aug,choked,inner carolyn,10,144,zostera,123,N,0.8,4,1.68,9.57,3.04,1.36,Y,,,,
2015,08-Jul,choked,outer sandspit,20,301,zostera,124,N,0.6,4,1.47,8.98,2.62,1.15,,,,,
2015,01-Aug,choked,north pigu,10,139,zostera,125,N,0.8,4,1.36,20.17,4.44,3.08,Y,,,,
2015,04-Jul,choked,south pigu,20,83,zostera,126.2,N,0.9,6,2.72,21.18,5.53,2.81,Y,,,,
2015,07-Jul,choked,inner tristan,10,114,zostera,127,N,0.8,5,1.5,14.53,3.59,2.09,Y,,,,
2015,29-Jul,choked,alcove,40,126,zostera,127.6,N,0.9,4,2.26,16.32,4.16,1.9,N,,,,
2015,29-Jul,choked,lower,30,77,zostera,128,N,0.7,4,1.84,17.61,3.93,2.09,N,,,,
2015,30-Jul,choked,inner ang,40,186,zostera,128.3,N,0.8,3,1.59,8.9,2.71,1.12,NA,,,,
2015,08-Jul,choked,alcove,30,122,zostera,129,N,1.1,6,1.76,23.91,4.85,3.09,UNK,,,,
2015,08-Jul,choked,alcove,10,111,zostera,130.8,N,1,5,1.18,19.95,4.11,2.93,N,,,,
2015,29-Jul,choked,inner tristan,10,209,zostera,131.2,N,0.6,3,2.37,12.59,4.1,1.73,Y,,,,
2015,04-Jul,choked,south pigu,30,141,zostera,131.8,Y,0.9,4,2.55,19.73,5.14,2.59,Y,,,,
2015,01-Aug,choked,inner sandspit,0,96,zostera,132,N,1,4,1.81,20.14,4.23,2.42,Y,,,,
2015,08-Jul,choked,flat,10,96,zostera,133,N,1,5,1.75,18.39,4.33,2.58,,lots of amphipods!,,,
2015,30-Jul,choked,inner ang,0,4,zostera,134.1,N,0.6,4,1.79,13.09,3.43,1.64,N,,,,
2015,06-Jul,choked,inner ang,10,160,zostera,134.6,N,0.8,4,1.61,18.49,4.13,2.52,Y,,,,
2015,06-Jul,choked,inner ang,30,8,zostera,134.7,N,0.8,7,2.3,22.56,5.32,3.02,Y,,,,
2015,01-Aug,choked,inner derek,30,119,zostera,134.8,N,0.8,4,1.49,14.18,2.99,1.5,Y,,,,
2015,30-Jul,choked,wolf,30,200,zostera,137.4,N,1,4,1.74,16.26,3.77,2.03,Y,,,,
2015,07-Jul,choked,inner tristan,40,167,zostera,141,N,0.8,5,1.59,12.01,3.18,1.59,N,,,,
2015,01-Aug,choked,north pigu,30,64,zostera,141,N,1,4,1.8,18.66,3.96,2.16,Y,,,,
2015,10-Jul,choked,wolf,10,154,zostera,141.2,N,1,5,1.19,22.38,4.62,3.43,Y,,,,
2015,10-Jul,choked,wolf,30,149,zostera,141.2,N,1,6,1.17,20.96,3.97,2.8,Y,,,,
2015,05-Jul,choked,north pigu,30,81,zostera,142.5,N,0.9,4,1.62,14.32,3.26,1.64,Y,,,,
2015,08-Jul,choked,outer sandspit,30,81,zostera,143.2,N,0.6,4,1.49,16.66,3.53,2.04,UNK,,,,
2015,08-Jul,choked,outer sandspit,40,120,zostera,143.6,N,0.5,4,1.45,11.33,2.65,1.2,N,,,,
2015,30-Jul,choked,wolf,10,122,zostera,145.2,N,0.8,5,2.15,19.99,4.68,2.53,Y,,,,
2015,30-Jul,choked,inner ang,20,115,zostera,145.2,N,0.9,6,1.75,21.24,4.46,2.71,Y,,,,
2015,04-Jul,choked,south pigu,10,65,zostera,145.8,N,0.8,5,2.11,22.34,5.15,3.04,Y,,,,
2015,29-Jul,choked,outer sandspit,20,117,zostera,146.2,N,0.6,4,0.8,13.9,2.46,1.66,Y,,,,
2015,30-Jul,choked,inner ang,10,8,zostera,146.2,N,0.8,5,1.92,17.81,4.1,2.18,N,,,,
2015,29-Jul,choked,outer sandspit,30,207,zostera,147.4,N,0.7,5,1.62,14.91,3.48,1.86,N,,,,
2015,05-Jul,choked,north pigu,0,220,zostera,148,N,0.8,4,2.16,19.36,4.11,1.95,NA,,,,
2015,31-Jul,choked,flat,40,117,zostera,149,N,0.8,5,1.89,18.08,4.58,2.69,Y,,,,
2015,08-Jul,choked,flat,40,216,zostera,150,N,0.8,5,NA,26.91,4.93,4.93,,,,,
2015,08-Jul,choked,flat,20,107,zostera,151.1,N,0.8,5,1.84,24.25,5.46,3.62,,,,,
2015,31-Jul,choked,flat,0,113,zostera,152.2,N,0.9,5,1.68,19.34,3.93,2.25,Y,,,,
2015,08-Jul,choked,alcove,20,116,zostera,153,N,1,3,1.53,18.25,3.68,2.15,Y,,,,
2015,04-Jul,choked,south pigu,40,40,zostera,153.2,Y,1.1,4,3.58,26.47,6.36,2.78,Y,,,,
2015,29-Jul,choked,outer sandspit,10,12,zostera,154.2,N,0.6,4,1.34,11.95,3.12,1.78,Y,,,,
2015,08-Jul,choked,outer sandspit,10,10,zostera,154.4,N,0.7,4,1.77,15.91,3.64,1.87,,,,,
2015,31-Jul,choked,south pigu,10,146,zostera,154.8,N,0.9,6,1.51,29.36,5.2,3.69,Y,,,,
2015,29-Jul,choked,outer sandspit,0,15,zostera,155,N,0.8,4,1.73,14.61,3.77,2.04,Y,,,,
2015,01-Aug,choked,inner derek,10,206,zostera,155,N,0.8,5,1.31,20.03,3.92,2.61,Y,,,,
2015,29-Jul,choked,alcove,20,9,zostera,155.8,N,1,4,2.08,17.75,4.02,1.94,Y,,,,
2015,29-Jul,choked,inner tristan,0,no number,zostera,156.2,N,0.7,4,1.95,14.47,3.7,1.75,N,,,,
2015,29-Jul,choked,lower,40,13,zostera,158.7,N,1,5,2.23,25.59,5.59,3.36,Y,,,,
2015,31-Jul,choked,flat,10,207,zostera,159,N,0.8,4,1.48,23.09,4.44,2.96,N,,,,
2015,06-Jul,choked,inner ang,20,238,zostera,159.8,N,0.8,6,1.52,17.73,3.7,2.18,Y,small amount of smithora,,,
2015,30-Jul,choked,inner ang,30,301,zostera,159.8,N,1,5,1.34,25.42,4.61,3.27,Y,,,,
2015,01-Aug,choked,north pigu,0,189,zostera,160,N,1.1,5,1.45,24.53,5.53,4.08,Y,,,,
2015,06-Jul,choked,inner ang,40,180,zostera,160.2,N,0.8,5,1.71,22.34,4.46,2.75,Y,,,,
2015,08-Jul,choked,inner carolyn,20,40,zostera,160.2,N,0.6,4,1.62,17.23,3.86,2.24,,,,,
2015,29-Jul,choked,alcove,10,59,zostera,163.5,N,0.8,5,2.14,17.99,4.41,2.27,Y,,,,
2015,31-Jul,choked,south pigu,0,107,zostera,164.2,N,1.1,6,1.82,NA,5.29,3.47,Y,no foil wt,,,
2015,08-Jul,choked,inner carolyn,10,346,zostera,166.6,N,0.9,4,1.81,18.73,4.16,2.35,,"no number, so given #346",,,
2015,01-Aug,choked,inner derek,0,035M,zostera,170,N,0.8,5,1.59,24.72,4.69,3.1,Y,,,,
2015,29-Jul,choked,inner tristan,20,152,zostera,170.4,N,1,5,1.39,28.06,5.01,3.62,N,,,,
2015,07-Jul,choked,inner tristan,20,151,zostera,171,N,0.7,4,1.64,21.85,4.35,2.71,Y,,,,
2015,29-Jul,choked,inner tristan,30,172,zostera,171.1,N,0.8,4,1.96,16.21,4.1,2.14,N,,,,
2015,03-Jul,choked,lower,10,220,zostera,172.2,N,1.1,5,2.87,37.05,7.5,4.63,Y,,,,
2015,01-Aug,choked,inner carolyn,20,236,zostera,174,N,1,5,1.38,27.47,4.91,3.53,Y,,,,
2015,03-Jul,choked,lower,0,165,zostera,174.1,N,0.6,4,3,22.11,5.75,2.75,Y,,,,
2015,07-Jul,choked,inner derek,0,201,zostera,174.6,N,0.7,5,1.4,16.49,3.53,2.13,Y,,,,
2015,07-Jul,choked,inner tristan,30,149,zostera,175.2,N,0.8,6,1.49,NA,4.94,3.45,UNK,,,,
2015,07-Jul,choked,inner derek,20,153,zostera,179,N,1,5,1.74,25.03,4.89,3.15,Y,,,,
2015,08-Jul,choked,inner carolyn,0,157,zostera,179,N,0.9,5,1.74,26.28,5.33,3.59,,brown stringy epi present,,,
2015,03-Jul,choked,lower,40,30,zostera,181,N,1,4,2.15,31.66,5.5,3.35,Y,,,,
2015,29-Jul,choked,outer sandspit,40,113,zostera,182.9,N,0.6,4,2.1,17.37,4.73,2.63,Y,,,,
2015,30-Jul,choked,south pigu,40,77,zostera,183,N,1.1,4,1.38,29.07,5,3.62,N,,,,
2015,01-Aug,choked,inner carolyn,40,59,zostera,183,N,0.9,4,1.87,20.8,4.85,2.98,N,,,,
2015,29-Jul,choked,inner tristan,40,146,zostera,187.2,N,1,4,2.05,25.54,5.8,3.75,N,,,,
2015,31-Jul,choked,flat,30,152,zostera,188,N,0.9,5,1.87,30.13,2.01,0.14,Y,,,,
2015,07-Jul,choked,inner derek,30,154,zostera,188.1,N,1,6,1.7,34,6.68,4.98,Y,,,,
2015,30-Jul,choked,south pigu,20,15,zostera,192.2,N,1.2,5,1.96,28.03,5.33,3.37,Y,,,,
2015,29-Jul,choked,lower,0,173,zostera,193.4,N,1,5,1.89,21.91,4.64,2.75,Y,,,,
2015,29-Jul,choked,alcove,30,202,zostera,195.2,N,1,5,1.33,23.18,4.28,2.95,Y,,,,
2015,31-Jul,choked,flat,20,172,zostera,197.6,N,0.9,4,1.63,30.03,5.37,3.74,Y,,,,
2015,01-Aug,choked,inner derek,20,82,zostera,198,N,1,4,1.36,29.43,4.37,3.01,Y,,,,
2015,01-Aug,choked,inner derek,40,no number,zostera,203.2,N,1,5,1.55,34.56,6.28,4.73,Y,,,,
2015,04-Jul,choked,south pigu,0,96,zostera,203.4,N,0.8,4,2.17,20.29,4.64,2.47,Y,,,,
2015,03-Jul,choked,lower,30,81,zostera,203.5,N,1,4,2.77,23.77,5.86,3.09,Y,,,,
2015,01-Aug,choked,inner carolyn,0,147,zostera,203.6,N,1,5,1.79,30.79,5.61,3.82,Y,,,,
2015,31-Jul,choked,south pigu,30,55,zostera,208.6,N,1,4,1.88,22.75,4.63,2.75,Y,,,,
2015,08-Jul,choked,inner carolyn,40,49,zostera,214.6,N,0.8,5,1.46,26.75,4.99,3.53,,,,,
2015,29-Jul,choked,lower,10,2,zostera,248.8,N,1.1,4,3.53,35.66,7.24,3.71,N,,,,
2015,03-Jul,choked,lower,20,10,smithora,NA,NA,NA,NA,0.83,1.92,0.91,0.08,N,,,,
2015,03-Jul,choked,lower,0,165,smithora,NA,NA,NA,NA,1.58,21.13,2.62,1.04,N,,,,
2015,03-Jul,choked,lower,10,220,smithora,NA,NA,NA,NA,1.53,28.58,3.78,2.25,N,,,,
2015,03-Jul,choked,lower,30,81,smithora,NA,NA,NA,NA,0.9,50.52,2.85,1.95,N,,,,
2015,03-Jul,choked,lower,40,30,smithora,NA,NA,NA,NA,0.86,42.07,3.6,2.74,N,,,,
2015,04-Jul,choked,south pigu,20,83,smithora,NA,NA,NA,NA,0.77,11.28,2.35,1.58,N,,,,
2015,04-Jul,choked,south pigu,30,141,smithora,NA,NA,NA,NA,1.11,13.43,2.62,1.51,N,,,,
2015,04-Jul,choked,south pigu,40,40,smithora,NA,NA,NA,NA,1.73,24.8,3.69,1.96,N,,,,
2015,04-Jul,choked,south pigu,20,83,ulva,NA,NA,NA,NA,0.9,1.17,0.94,0.04,N,,,,
2015,04-Jul,choked,south pigu,0,96,smithora,NA,NA,NA,NA,0.82,10.53,2.18,1.36,N,,,,
2015,04-Jul,choked,south pigu,30,141,ulva,NA,NA,NA,NA,0.72,0.84,0.74,0.02,Y,,,,
2015,04-Jul,choked,south pigu,10,65,smithora,NA,NA,NA,NA,0.98,7.8,1.9,0.92,N,,,,
2015,05-Jul,choked,inner sandspit,10,120,smithora,NA,NA,NA,NA,1.52,22.9,3.33,1.81,N,,,,
2015,05-Jul,choked,north pigu,20,38,smithora,NA,NA,NA,NA,1.76,36.22,4.97,3.21,N,,,,
2015,05-Jul,choked,inner sandspit,30,160,smithora,NA,NA,NA,NA,1.9,35.82,3.98,2.08,N,,,,
2015,05-Jul,choked,inner sandspit,40,140,smithora,NA,NA,NA,NA,1.66,42.85,4.18,2.52,N,,,,
2015,05-Jul,choked,inner sandspit,20,148,smithora,NA,NA,NA,NA,0.81,34.14,2.73,1.92,N,,,,
2015,05-Jul,choked,north pigu,10,10,smithora,NA,NA,NA,NA,1.38,48.69,4.13,2.75,N,,,,
2015,05-Jul,choked,north pigu,30,81,smithora,NA,NA,NA,NA,0.93,23.48,3.85,2.92,N,,,,
2015,05-Jul,choked,inner sandspit,0,200,smithora,NA,NA,NA,NA,1.69,23.91,3.91,2.22,N,,,,
2015,05-Jul,choked,north pigu,0,220,smithora,NA,NA,NA,NA,1.42,35.14,3.7,2.28,N,,,,
2015,05-Jul,choked,north pigu,40,301,smithora,NA,NA,NA,NA,1.81,42.9,4.16,2.35,N,,,,
2015,06-Jul,choked,inner ang,30,8,smithora.punctaria,NA,NA,NA,NA,0.9,2.09,1.02,0.12,N,smithora + punctaria,,,
2015,07-Jul,choked,inner derek,10,220,smithora,NA,NA,NA,NA,1.29,4.65,1.54,0.25,N,,,,
2015,07-Jul,choked,inner tristan,40,167,smithora,NA,NA,NA,NA,0.9,2.09,1.46,0.56,N,,,,
2015,06-Jul,choked,inner ang,10,160,smithora.punctaria,NA,NA,NA,NA,1.21,2.31,1.28,0.07,N,smithora + punctaria,,,
2015,07-Jul,choked,inner derek,20,153,smithora,NA,NA,NA,NA,1.2,3.52,1.35,0.15,N,,,,
2015,06-Jul,choked,inner ang,40,180,smithora.punctaria,NA,NA,NA,NA,1.16,2.49,1.28,0.12,N,mixed epis,,,
2015,07-Jul,choked,inner derek,30,154,smithora,NA,NA,NA,NA,1.24,5.25,1.52,0.28,N,,,,
2015,07-Jul,choked,inner derek,30,154,unknown.epi,NA,NA,NA,NA,0.48,0.87,0.53,0.05,N,brown stringy epi ,,,
2015,07-Jul,choked,inner derek,0,201,smithora,NA,NA,NA,NA,0.81,5.77,1.08,0.27,N,,,,
2015,08-Jul,choked,alcove,30,122,smithora,NA,NA,NA,NA,1.25,27.1,5.06,3.81,N,,,,
2015,07-Jul,choked,inner derek,0,201,mixed.epis,NA,NA,NA,NA,1.16,1.54,1.23,0.07,N,punctaria + brown stringy,,,
2015,08-Jul,choked,alcove,10,111,smithora,NA,NA,NA,NA,1.48,50.4,4.29,2.81,N,,,,
2015,08-Jul,choked,alcove,20,116,smithora,NA,NA,NA,NA,1.24,16.33,2.73,1.49,N,,,,
2015,08-Jul,choked,alcove,20,116,ulva,NA,NA,NA,NA,0.82,2.55,0.98,0.16,N,,,,
2015,08-Jul,choked,flat,0,114,smithora,NA,NA,NA,NA,1.02,51.06,4.35,3.33,N,,,,
2015,08-Jul,choked,alcove,0,220,smithora,NA,NA,NA,NA,1.65,24.2,4.75,3.1,N,,,,
2015,08-Jul,choked,flat,20,107,smithora,NA,NA,NA,NA,1.13,10.78,1.75,0.62,N,,,,
2015,08-Jul,choked,outer sandspit,20,301,smithora,NA,NA,NA,NA,0.8,1.34,0.87,0.07,N,,,,
2015,08-Jul,choked,inner carolyn,20,40,smithora,NA,NA,NA,NA,0.9,9.6,1.32,0.42,N,,,,
2015,08-Jul,choked,outer sandspit,10,10,smithora,NA,NA,NA,NA,0.85,1.27,0.9,0.05,N,,,,
2015,08-Jul,choked,inner carolyn,10,346,smithora,NA,NA,NA,NA,0.48,1.06,0.53,0.05,N,,,,
2015,08-Jul,choked,inner carolyn,40,49,smithora,NA,NA,NA,NA,0.86,2.81,1.02,0.16,N,,,,
2015,08-Jul,choked,inner carolyn,30,112,smithora,NA,NA,NA,NA,1.1,4.3,1.33,0.23,N,,,,
2015,08-Jul,choked,flat,10,96,smithora,NA,NA,NA,NA,1.13,16.02,3.31,2.18,N,,,,
2015,08-Jul,choked,flat,30,204,smithora,NA,NA,NA,NA,0.91,12.46,1.72,0.81,N,,,,
2015,08-Jul,choked,inner carolyn,0,157,smithora,NA,NA,NA,NA,0.93,3.13,1.05,0.12,N,,,,
2015,08-Jul,choked,inner carolyn,0,157,punctaria,NA,NA,NA,NA,0.89,1.12,0.92,0.03,N,,,,
2015,08-Jul,choked,alcove,40,160,smithora,NA,NA,NA,NA,1.19,13.23,2.46,1.27,NA,,,,
2015,10-Jul,choked,wolf,10,154,smithora,NA,NA,NA,NA,0.86,25.99,4.66,3.8,NA,,,,
2015,10-Jul,choked,wolf,0,167,smithora,NA,NA,NA,NA,0.85,6.12,1.44,0.59,NA,,,,
2015,10-Jul,choked,wolf,30,149,smithora,NA,NA,NA,NA,0.74,17.34,2.01,1.27,NA,,,,
2015,10-Jul,choked,wolf,40,153,smithora,NA,NA,NA,NA,0.77,17.14,3.12,2.35,NA,,,,
2015,10-Jul,choked,wolf,30,149,punctaria,NA,NA,NA,NA,0.88,1.22,0.91,0.03,NA,,,,
2015,10-Jul,choked,wolf,20,201,smithora,NA,NA,NA,NA,0.74,1.21,0.77,0.03,NA,,,,
2015,30-Jul,choked,wolf,40,116,smithora,NA,NA,NA,NA,0.86,9.77,1.96,1.1,NA,,,,
2015,30-Jul,choked,wolf,30,200,smithora,NA,NA,NA,NA,1.15,16.35,2.97,1.82,NA,,,,
2015,30-Jul,choked,wolf,20,21,smithora,NA,NA,NA,NA,0.81,6.3,1.67,0.86,NA,,,,
2015,29-Jul,choked,outer sandspit,0,15,smithora,NA,NA,NA,NA,0.95,3.74,1.26,0.31,NA,,,,
2015,29-Jul,choked,lower,20,55,smithora,NA,NA,NA,NA,0.53,4.15,0.86,0.33,NA,,,,
2015,29-Jul,choked,outer sandspit,30,207,smithora,NA,NA,NA,NA,0.8,3.81,0.96,0.16,NA,,,,
2015,29-Jul,choked,outer sandspit,10,12,smithora,NA,NA,NA,NA,0.8,2.87,0.96,0.16,NA,,,,
2015,29-Jul,choked,outer sandspit,20,117,smithora,NA,NA,NA,NA,0.8,4.82,1.24,0.44,NA,,,,
2015,29-Jul,choked,inner tristan,0,no number,smithora,NA,NA,NA,NA,0.8,2.78,1,0.2,NA,,,,
2015,29-Jul,choked,inner tristan,20,152,smithora,NA,NA,NA,NA,0.8,6.37,1.2,0.4,NA,,,,
2015,29-Jul,choked,outer sandspit,40,113,smithora,NA,NA,NA,NA,0.8,4.03,1.1,0.3,NA,,,,
2015,29-Jul,choked,inner tristan,40,146,smithora,NA,NA,NA,NA,0.9,1.44,1,0.1,NA,,,,
2015,29-Jul,choked,inner tristan,40,146,punctaria,NA,NA,NA,NA,0.7,3.53,1.1,0.4,NA,,,,
2015,29-Jul,choked,lower,10,2,smithora,NA,NA,NA,NA,1.1,41.29,3.77,2.67,NA,,,,
2015,29-Jul,choked,inner tristan,30,172,smithora,NA,NA,NA,NA,1.7,2.23,1.8,0.1,NA,,,,
2015,29-Jul,choked,lower,30,77,smithora,NA,NA,NA,NA,0.8,11.25,1.64,0.84,NA,,,,
2015,29-Jul,choked,alcove,40,126,smithora,NA,NA,NA,NA,0.9,11.61,2.55,1.65,NA,,,,
2015,29-Jul,choked,alcove,0,81,smithora,NA,NA,NA,NA,1.49,19.51,2.49,1,NA,,,,
2015,29-Jul,choked,alcove,10,59,smithora,NA,NA,NA,NA,0.79,6.71,1.31,0.52,NA,,,,
2015,29-Jul,choked,alcove,20,9,smithora,NA,NA,NA,NA,0.83,6.26,1.51,0.68,NA,,,,
2015,29-Jul,choked,alcove,30,202,smithora,NA,NA,NA,NA,1.01,14.83,2.08,1.07,NA,,,,
2015,29-Jul,choked,lower,40,13,smithora,NA,NA,NA,NA,0.82,13.03,2.41,1.59,NA,,,,
2015,29-Jul,choked,lower,0,173,smithora,NA,NA,NA,NA,0.81,22.42,2.43,1.62,NA,,,,
2015,29-Jul,choked,lower,0,173,ulva,NA,NA,NA,NA,0.78,0.85,0.8,0.02,NA,,,,
2015,30-Jul,choked,wolf,10,122,smithora,NA,NA,NA,NA,0.82,24.64,2.48,1.66,NA,,,,
2015,30-Jul,choked,wolf,30,200,punctaria,NA,NA,NA,NA,0.85,1.09,0.9,0.05,NA,,,,
2015,30-Jul,choked,wolf,0,204,smithora,NA,NA,NA,NA,0.49,3.89,0.91,0.42,NA,,,,
2015,30-Jul,choked,inner ang,30,301,smithora,NA,NA,NA,NA,0.74,10.6,1.45,0.71,NA,,,,
2015,30-Jul,choked,inner ang,20,115,smithora,NA,NA,NA,NA,0.8,1.72,0.9,0.1,NA,,,,
2015,30-Jul,choked,inner ang,20,115,punctaria,NA,NA,NA,NA,0.77,4.61,1.26,0.49,NA,,,,
2015,30-Jul,choked,inner ang,0,4,smithora,NA,NA,NA,NA,0.96,1.08,0.98,0.02,NA,,,,
2015,30-Jul,choked,inner ang,10,8,punctaria,NA,NA,NA,NA,0.65,1.84,0.95,0.3,NA,,,,
2015,30-Jul,choked,inner ang,10,8,smithora,NA,NA,NA,NA,0.82,2.2,0.96,0.14,NA,,,,
2015,30-Jul,choked,south pigu,40,77,smithora,NA,NA,NA,NA,0.87,29.92,4.55,3.68,NA,,,,
2015,30-Jul,choked,inner ang,40,186,smithora.punctaria,NA,NA,NA,NA,0.9,1.34,0.92,0.02,NA,,,,
2015,30-Jul,choked,south pigu,20,15,smithora,NA,NA,NA,NA,0.94,35.88,4.21,3.27,NA,,,,
2015,30-Jul,choked,south pigu,20,15,ulva,NA,NA,NA,NA,0.65,1.53,0.76,0.11,NA,,,,
2015,31-Jul,choked,south pigu,30,55,smithora,NA,NA,NA,NA,0.92,20.77,3.33,2.41,NA,,,,
2015,31-Jul,choked,south pigu,10,146,smithora,NA,NA,NA,NA,0.83,20.82,2.95,2.12,NA,,,,
2015,31-Jul,choked,flat,10,207,smithora,NA,NA,NA,NA,0.92,10.84,1.54,0.62,Y,,,,
2015,31-Jul,choked,flat,30,152,smithora,NA,NA,NA,NA,0.87,5.49,1.15,0.28,NA,,,,
2015,31-Jul,choked,flat,0,113,smithora,NA,NA,NA,NA,0.95,9.5,1.56,0.61,NA,,,,
2015,31-Jul,choked,flat,40,117,smithora,NA,NA,NA,NA,0.84,2.35,0.99,0.15,NA,,,,
2015,31-Jul,choked,flat,20,172,smithora,NA,NA,NA,NA,0.44,2.11,0.58,0.14,NA,,,,
2015,31-Jul,choked,south pigu,0,107,smithora,NA,NA,NA,NA,1.09,NA,3.46,2.37,NA,no foil wt,,,
2015,01-Aug,choked,inner sandspit,20,132,smithora,NA,NA,NA,NA,1.51,20.18,2.71,1.2,NA,,,,
2015,01-Aug,choked,inner sandspit,30,110,smithora,NA,NA,NA,NA,1.46,45.43,4.95,3.49,NA,,,,
2015,01-Aug,choked,north pigu,20,178,smithora,NA,NA,NA,NA,1.72,12.94,2.6,0.88,NA,,,,
2015,01-Aug,choked,inner sandspit,20,132,ulva,NA,NA,NA,NA,0.6,1.01,0.69,0.09,NA,,,,
2015,01-Aug,choked,north pigu,30,64,smithora,NA,NA,NA,NA,0.9,36.87,2.85,1.95,NA,,,,
2015,01-Aug,choked,north pigu,10,139,smithora,NA,NA,NA,NA,1.12,15.39,2.02,0.9,NA,,,,
2015,01-Aug,choked,inner sandspit,0,96,smithora,NA,NA,NA,NA,1.63,50.57,4.79,3.16,NA,,,,
2015,01-Aug,choked,north pigu,0,189,smithora,NA,NA,NA,NA,0.43,26.34,2.48,2.05,NA,,,,
2015,01-Aug,choked,inner carolyn,10,144,smithora,NA,NA,NA,NA,0.6,1.35,0.83,0.23,NA,,,,
2015,01-Aug,choked,inner sandspit,30,191,smithora,NA,NA,NA,NA,1.4,21.76,3.82,2.42,NA,,,,
2015,01-Aug,choked,inner carolyn,20,236,smithora,NA,NA,NA,NA,1.17,3.63,1.33,0.16,NA,,,,
