Site,sample.number,platynereis.bicanaliculata,pholoe.tuberculata,exogone.sp.,capitella.capitata,janua.pagastecheri,nematode,pontogeneia.rostrata,lepidepecreum.sp.,photis.brevipes,eogammarus.confervicolus,ampithoe.spp.,aoroides.spp.,monocorophium.acherusicum,caprella.californica,caprella.laeviuscula,caprella.mutica,paracerceis.cordata,idotea.montereynensis,idotea.resecata,cirolana.harfordi,leptochelia.dubia,Harpacticoid.copepod.spp,phyllaplysia.taylori,pycnogonid,red.halacarid.mite,colus.spp.,amphissa.columbiana,calliostoma.spp.,lacuna.vincta,lacuna.variegata,tegula.funebralis,solariella.permablis,bittium.eschrichtii,margarites.helicinus,alia.carinata,haminoaea.spp.,red.striped.snail,lottia.alveus,mytilus.trossulus,nutricola.spp.,balanus.spp.,ostracoda,amphipholis.pugetana,seastar,diadumene.lineata.anemone,pagurus.quaylei,pugettia.spp.,heptacarpus.spp.
mcmullin.north,9,1,0,0,0,0,0,0,0,1,0,0,6,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullin.north,10,1,0,0,0,0,0,0,0,2,0,0,2,0,0,84,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcmullin.north,11,49,0,0,0,0,0,1,0,3,0,0,19,0,11,437,0,11,0,1,0,0,0,48,0,0,0,0,0,20,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
mcmullin.north,12,3,0,0,0,0,0,0,0,0,0,1,12,0,338,0,0,0,0,1,0,0,0,105,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triquet,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
triquet,2,1,0,1,0,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
triquet,3,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
triquet,4,2,0,0,0,0,1,0,0,0,0,0,2,0,56,0,0,0,0,0,0,2,1,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triquet,5,2,0,0,0,0,0,0,0,0,0,0,3,0,112,0,0,2,0,0,0,1,4,3,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
triquet,7,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
triquet,8,4,0,0,2,0,0,0,0,0,0,0,8,0,442,0,0,1,0,3,0,1,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0
triquet,9,6,0,0,0,0,2,1,0,1,0,0,2,0,115,0,0,0,0,1,0,23,10,45,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triquet,12,3,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1,0,0,0,2,0,9,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
triquet.noname.cove,2,27,0,0,0,0,0,0,0,2,0,0,5,0,279,1,0,3,0,0,0,0,0,19,0,0,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
triquet.noname.cove,4,13,0,0,0,0,0,1,0,1,0,0,14,0,1192,0,0,0,0,0,0,0,0,12,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
triquet.noname.cove,5,59,0,0,0,0,0,0,0,0,0,0,3,0,1108,0,0,0,0,0,0,0,0,131,0,0,0,0,1,27,0,0,3,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0
triquet.noname.cove,7,2,0,0,0,0,0,0,0,2,0,5,25,0,627,0,0,36,0,0,0,0,0,82,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
triquet.noname.cove,9,23,0,0,0,1,0,0,0,0,0,0,17,0,471,0,0,8,0,0,0,2,0,122,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
triquet.noname.cove,10,9,0,0,0,0,0,1,0,0,0,6,8,0,383,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
triquet.noname.cove,11,2,0,0,0,0,0,0,0,0,0,0,1,0,119,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
triquet.noname.cove,12,8,0,0,0,0,0,1,0,3,0,3,5,0,946,0,3,68,0,1,0,0,12,177,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
triquet.noname.cove,13,0,0,0,0,0,0,0,0,0,0,1,0,0,540,0,0,105,0,0,0,1,0,110,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triquet.noname.cove,6,48,0,0,0,2,0,0,0,1,0,4,37,0,2173,1,0,55,0,0,0,0,1,140,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
