year,date,site,site_id,region,otter_dens,label,sample_id,species_id,dom_epi,sec_epi,sample_no,length_cm,broken,width_cm ,foil_wgt_kg,wet_wgt_kg,dry_wgt_kg,final_dry_wgt_kg,notes
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_06_ZM,Seagrass,Zostera marina,,,6,238,,1,0.0016,0.0262,0.0051,0.0035,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_06_Smith,Epiphyte,Smithora,,,6,NA,,NA,0.0031,0.0481,0.0052,0.0021,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_08_ZM,Seagrass,Zostera marina,,,8,180.4,,1.2,0.0033,0.0312,0.006,0.0027,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_08_Smith,Epiphyte,Smithora,,,8,NA,,NA,0.0008,0.0254,0.0027,0.0019,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_09_ZM,Seagrass,Zostera marina,,,9,155.6,,1.4,0.0032,0.0256,0.0064,0.0032,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_09_Smith,Epiphyte,Smithora,,,9,NA,,NA,0.003,0.324,0.0051,0.0021,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_07_ZM,Seagrass,Zostera marina,,,7,132.1,,1.1,0.0019,0.0445,0.0043,0.0024,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_07_Smith,Epiphyte,Smithora,,,7,NA,,NA,0.0017,0.081,0.0032,0.0015,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_02_ZM,Seagrass,Zostera marina,,,2,210,,1.5,0.0035,0.0228,0.0062,0.0027,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_02_Smith,Epiphyte,Smithora,,,2,NA,,NA,0.0015,0.0159,0.0025,0.001,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_03_ZM,Seagrass,Zostera marina,,,3,275.2,,0.8,0.0013,0.0148,0.0027,0.0014,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_03_Smith,Epiphyte,Smithora,,,3,NA,,NA,0.003,0.0167,0.0037,0.0007,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_04_ZM,Seagrass,Zostera marina,,,4,88,,0.8,0.0029,0.0094,0.0038,0.0009,
2014,Jul-29-2014,Choked_Lower,CL,Choked,Low,EPI_04_Smith,Epiphyte,Smithora,,,4,NA,,NA,0.003,0.0167,0.0038,0.0008,
2014,Jul-30-2014,Goose_East,GE,Goose,High,EPI_07_ZM,Seagrass,Zostera marina,,,7,172,,0.6,0.0029,0.0107,0.0044,0.0015,
2014,Jul-30-2014,Goose_East,GE,Goose,High,EPI_05_ZM,Seagrass,Zostera marina,,,5,154.2,,0.6,0.0034,0.0157,0.0058,0.0024,
2014,Jul-30-2014,Goose_East,GE,Goose,High,EPI_0_ZM,Seagrass,Zostera marina,,,0,212,,0.8,0.0033,0.0145,0.005,0.0017,
2014,Jul-30-2014,Goose_East,GE,Goose,High,EPI_04_ZM,Seagrass,Zostera marina,,,4,129,,0.6,0.0034,0.0158,0.006,0.0026,
2014,Jul-30-2014,Goose_East,GE,Goose,High,EPI_01_ZM,Seagrass,Zostera marina,,,1,139.1,,0.5,0.0031,NA,0.004,0.0009,
2014,Jul-30-2014,Goose_East,GE,Goose,High,EPI_09_ZM,Seagrass,Zostera marina,,,9,85.2,,0.5,0.0031,0.0071,0.0043,0.0012,
2014,Aug-02-2014,McMullin_North,MN,McMullin,High,EPI_04_ZM,Seagrass,Zostera marina,,,4,175.4,,1,0.0022,0.0207,0.0051,0.0029,
2014,Aug-02-2014,McMullin_North,MN,McMullin,High,EPI_03_ZM,Seagrass,Zostera marina,,,3,195.1,,0.9,0.0023,0.0184,0.0048,0.0025,
2014,Aug-02-2014,McMullin_North,MN,McMullin,High,EPI_01_ZM,Seagrass,Zostera marina,,,1,155.1,,0.8,NA,NA,NA,NA,
2014,Aug-02-2014,McMullin_North,MN,McMullin,High,EPI_08_ZM,Seagrass,Zostera marina,,,8,197.8,,0.8,0.0032,0.0234,0.007,0.0038,
2014,Aug-02-2014,McMullin_North,MN,McMullin,High,EPI_09_ZM,Seagrass,Zostera marina,,,9,184,,1,0.003,0.0219,0.006,0.003,
2014,Aug-02-2014,McMullin_North,MN,McMullin,High,EPI_07_ZM,Seagrass,Zostera marina,,,7,212.2,,0.8,0.0019,0.0224,0.0053,0.0034,
2014,Aug-02-2014,McMullin_North,MN,McMullin,High,EPI_06_ZM,Seagrass,Zostera marina,,,6,147.8,,0.7,0.002,0.0097,0.003,0.001,
2014,Aug-02-2014,McMullin_North,MN,McMullin,High,EPI_05_ZM,Seagrass,Zostera marina,,,5,216,,0.9,0.002,0.025,0.0059,0.0039,
2014,Aug-02-2014,McMullin_North,MN,McMullin,High,EPI_02_ZM,Seagrass,Zostera marina,,,2,193.2,,0.9,0.0021,0.0239,0.0053,0.0032,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_06_ZM,Seagrass,Zostera marina,,,6,197,,1,0.003,0.0382,0.0083,0.0053,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_08_ZM,Seagrass,Zostera marina,,,8,148,,0.8,0.003,0.0178,0.0052,0.0022,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_09_ZM,Seagrass,Zostera marina,,,9,195,,NA,0.0027,0.025,0.006,0.0033,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_07_ZM,Seagrass,Zostera marina,,,7,181,,0.8,0.0019,0.023,0.0046,0.0027,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_09_Smith,Epiphyte,Smithora,,,9,NA,,NA,0.0027,0.003,0.0027,0,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_06_Smith,Epiphyte,Smithora,,,6,NA,,NA,0.0017,0.0084,0.002,0.0003,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_08_epi,Epiphyte,Mixed epiphytes,,,8,NA,,NA,0.0007,0.0022,0.0008,0.0001,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_01_ZM,Seagrass,Zostera marina,,,1,142,,0.6,0.0018,0.0116,0.0031,0.0013,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_01_epi,Epiphyte,Mixed epiphytes,,,1,NA,,NA,0.0011,0.0015,NA,NA,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_04_epi,Epiphyte,Mixed epiphytes,,,4,NA,,NA,0.0005,0.001,0.0006,0.0001,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_02_epi,Epiphyte,Mixed epiphytes,,,2,NA,,NA,0.001,0.0013,0.001,0,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_02_ZM,Seagrass,Zostera marina,,,2,NA,,NA,0.0017,0.0139,0.0035,0.0018,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_04_ZM,Seagrass,Zostera marina,,,4,140,,0.7,0.003,0.0154,0.0051,0.0021,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_05_epi,Epiphyte,Mixed epiphytes,,,5,NA,,NA,0.001,0.0011,0.001,0,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_05_ZM,Seagrass,Zostera marina,,,5,161,,0.8,0.0021,0.0173,0.0045,0.0024,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_03_ZM,Seagrass,Zostera marina,,,3,115,,0.6,0.0018,0.0111,0.0032,0.0014,
2014,Aug-04-2014,Triquet_North,TN,Triquet,Low,EPI_03_epi,Epiphyte,Mixed epiphytes,,,3,NA,,NA,0.0007,0.0023,0.0007,0,
