site,site_id,region,sample_id,species_id,sample_no,foil_wgt_mg,wet_wgt_mg,dry_wgt_mg,final_dry_wgt,abundance
Choked_Lower,CL,Choked,EPI_05_Eggs,Eggs,5,242.5,297.8,247.6,5.1,5
Choked_Lower,CL,Choked,EPI_05_Snails,Snail,5,248.8,352.4,290.2,41.4,15
Choked_Lower,CL,Choked,EPI_05B_Worm,Worm,5B,293,327,298.8,5.8,4
Choked_Lower,CL,Choked,EPI_05B_Amphi,Amphi,5B,285.1,297.4,288.2,3.1,4
Choked_Lower,CL,Choked,EPI_05B_Iso,Iso,5B,292.2,299.6,293.8,1.6,4
Choked_Lower,CL,Choked,EPI_05B_Snails,Snail,5B,287.1,304.3,296.8,9.7,1
Choked_Lower,CL,Choked,EPI_08_Stalked_jelly,Stalked_jelly,8,270.4,412.8,318.7,48.3,1
Choked_Lower,CL,Choked,EPI_08_Iso,Iso,8,256.1,289.6,258.1,2,1
Choked_Lower,CL,Choked,EPI_08_Amphi,Amphi,8,285.7,320.5,295.2,9.5,8
Choked_Lower,CL,Choked,EPI_08_Worm,Worm,8,201.3,206.3,203.1,1.8,2
Choked_Lower,CL,Choked,EPI_08_Snail,Snail,8,226.9,327.9,287.9,61,6
Choked_Lower,CL,Choked,EPI_08_Egg,Egg,8,256.1,262.5,264.9,8.8,1
Choked_Lower,CL,Choked,EPI_08_Cap,Cap,8,260.2,287.2,267.7,7.5,8
Choked_Lower,CL,Choked,EPI_06_Stalked_jelly,Stalked_jelly,6,259.8,803.5,311.9,52.1,2
Choked_Lower,CL,Choked,EPI_06_Worm,Worm,6,235,255.7,238.8,3.8,8
Choked_Lower,CL,Choked,EPI_06_Eggs,Eggs,6,252.1,274,255.3,3.2,3
Choked_Lower,CL,Choked,EPI_06_Seastar,Seastar,6,273.1,279.1,275.9,2.8,2
Choked_Lower,CL,Choked,EPI_06_Amphi,Amphi,6,260.4,575.2,303.8,43.4,45
Choked_Lower,CL,Choked,EPI_06_Cap,Cap,6,253.2,410.4,272.1,18.9,19
Choked_Lower,CL,Choked,EPI_06_Iso,Iso,6,207.8,214.1,210,2.2,1
Choked_Lower,CL,Choked,EPI_06_Snails,Snail,6,190.4,276.1,234,43.6,12
Choked_Lower,CL,Choked,EPI_09_Stalked_jelly,Stalked_jelly,9,186.9,216.9,223.4,36.5,1
Choked_Lower,CL,Choked,EPI_09_Egg,Egg,9,222,231.3,223.2,1.2,4
Choked_Lower,CL,Choked,EPI_09_Iso,Iso,9,261.2,295.2,268.7,7.5,3
Choked_Lower,CL,Choked,EPI_09_Cap,Cap,9,477.9,1804.8,731.7,253.8,132
Choked_Lower,CL,Choked,EPI_09_Amphi,Amphi,9,283.8,611.1,329,45.2,108
Choked_Lower,CL,Choked,EPI_09_Snails,Snail,9,186.9,423.4,325.5,138.6,13
Choked_Lower,CL,Choked,EPI_02_Stalked_jelly,Stalked_jelly,2,247.5,405.6,284,36.5,1
Choked_Lower,CL,Choked,EPI_02_Snails,Snail,2,219.2,333.6,295.8,76.6,4
Choked_Lower,CL,Choked,EPI_02_Cap,Cap,2,471.6,682.8,488.7,17.1,7
Choked_Lower,CL,Choked,EPI_02_Amphi,Amphi,2,162.4,228.3,168,5.6,15
Choked_Lower,CL,Choked,EPI_02_Egg,Egg,2,217.5,NA,219.6,2.1,1
Choked_Lower,CL,Choked,EPI_02_Unid_amphi,Unid_amphi,2,460.1,475,462.4,2.3,1
Choked_Lower,CL,Choked,EPI_02_Worm,Worm,2,501.9,582.4,511.1,9.2,4
Choked_Lower,CL,Choked,EPI_07_Snails,Snail,7,431.5,599.4,519.4,87.9,7
Choked_Lower,CL,Choked,EPI_07_Stalked_jelly,Stalked_jelly,7,437.6,529.7,449.1,11.5,1
Choked_Lower,CL,Choked,EPI_07_Cap,Cap,7,386.7,502.9,407.3,20.6,22
Choked_Lower,CL,Choked,EPI_07_Iso,Iso,7,500.6,583.6,525.4,24.8,4
Choked_Lower,CL,Choked,EPI_07_Amphi,Amphi,7,446.1,599.6,478.8,32.7,90
Choked_Lower,CL,Choked,EPI_07_Egg,Egg,7,201.2,208.8,203.1,1.9,3
Choked_Lower,CL,Choked,EPI_07_Worm,Worm,7,255.4,261.7,257.8,2.4,1
Choked_Lower,CL,Choked,EPI_07_Seastar,Seastar,7,170.8,171.5,170.8,0,1
Choked_Lower,CL,Choked,EPI_04_Stalked_jelly,Stalked_jelly,4,370,544.4,442.1,72.1,1
Choked_Lower,CL,Choked,EPI_04_Amphi,Amphi,4,243.7,325.7,255.1,11.4,15
Choked_Lower,CL,Choked,EPI_04_Worm,Worm,4,240.8,244.4,241,0.2,1
Goose_East,GE,Goose,East_Goose_Extra,NA,NA,NA,NA,NA,NA,0
Goose_East,GE,Goose,EPI_07_Amphi,Amphi,7,260.1,261.9,261.2,1.1,2
Goose_East,GE,Goose,EPI_07_Cap,Cap,7,226.3,228.3,227.7,1.4,2
Goose_East,GE,Goose,EPI_07_Snails,Snail,7,271.5,273.6,274.1,2.6,3
Goose_East,GE,Goose,EPI_99_Snails,Snail,9,231.8,233.5,233.2,1.4,3
Goose_East,GE,Goose,EPI_01_Worms,Worm,1,236.6,323.7,271.5,34.9,9
Goose_East,GE,Goose,EPI_01_Snails,Snail,1,202.6,212.2,208.8,6.2,4
Goose_East,GE,Goose,EPI_09_Snails,Snail,9,202.5,206.6,205.5,3,3
Goose_East,GE,Goose,EPI_03_Cap,Cap,3,266.6,290.5,271.4,4.8,2
Goose_East,GE,Goose,EPI_03_Amphi,Amphi,3,267.5,282.3,269.9,2.4,4
Goose_East,GE,Goose,EPI_03_Snails,Snail,3,201.1,232.2,217.2,16.1,2
Goose_East,GE,Goose,EPI_03_Eggs,Eggs,3,132.9,138.5,134.7,1.8,2
McMullin_North,MN,McMullin,EPI_04_Cap,Cap,4,303.3,405.5,317.2,13.9,24
McMullin_North,MN,McMullin,EPI_04_Amphi,Amphi,4,329.3,337.6,330.9,1.6,2
McMullin_North,MN,McMullin,EPI_04_Tiny_black_dots,Sm_blk_iso,4,241.9,262.1,244.6,2.7,10
McMullin_North,MN,McMullin,EPI_03_Worm,Worm,3,199.2,262.2,212,12.8,1
McMullin_North,MN,McMullin,EPI_03_Cap,Cap,3,274.3,284.6,276.1,1.8,4
McMullin_North,MN,McMullin,EPI_03_Iso,Iso,3,320.2,323.2,320.8,0.6,2
McMullin_North,MN,McMullin,EPI_01_Cap,Cap,1,367.4,417.4,378.1,10.7,12
McMullin_North,MN,McMullin,EPI_01_Snail,Snail,1,293.1,331.1,312,18.9,1
McMullin_North,MN,McMullin,EPI_01_Worms,Worm,1,301.8,408,352.5,50.7,4
McMullin_North,MN,McMullin,EPI_08_Seastar,Seastar,8,207.8,302.4,236.1,28.3,4
McMullin_North,MN,McMullin,EPI_08_Snail,Snail,8,191.7,223.1,205.9,14.2,
McMullin_North,MN,McMullin,EPI_08_Cap,Cap,8,178.8,273.4,191.4,12.6,13
McMullin_North,MN,McMullin,EPI_08_Green_egg_mass,Green_egg_mass,8,180,213.6,185.3,5.3,1
McMullin_North,MN,McMullin,EPI_08_Mussel,Mussel,8,203,204.8,204.3,1.3,1
McMullin_North,MN,McMullin,EPI_08_Lil_white_blob,Unid,8,181.7,183,181.9,0.2,1
McMullin_North,MN,McMullin,EPI_09_Cap,Cap,9,255,729.2,623.7,368.7,257
McMullin_North,MN,McMullin,EPI_09_Worms,Worm,9,177.9,217.7,183.7,5.8,7
McMullin_North,MN,McMullin,EPI_09_Tiny_black_dots,Sm_blk_iso,9,192.3,209.5,193.9,1.6,40
McMullin_North,MN,McMullin,EPI_09_Snail,Snail,9,187.6,248.2,225.4,37.8,1
McMullin_North,MN,McMullin,EPI_07_Cap,Cap,7,205.2,210.6,206.4,1.2,2
McMullin_North,MN,McMullin,EPI_07_Tiny_black_dots,Sm_blk_iso,7,163.2,163.4,163.6,0.4,1
McMullin_North,MN,McMullin,EPI_06_Cap,Cap,6,170.6,231.1,189.7,19.1,17
McMullin_North,MN,McMullin,EPI_06_Tiny_black_dots,Sm_blk_iso,6,190.9,190.9,190.9,0,1
McMullin_North,MN,McMullin,EPI_06_Amphi,Amphi,6,191.1,192.4,191.3,0.2,1
McMullin_North,MN,McMullin,EPI_05_Worms,Worm,5,194.7,257.5,238,43.3,3
McMullin_North,MN,McMullin,EPI_05_Cap,Cap,5,212,380,241.1,29.1,35
McMullin_North,MN,McMullin,EPI_05_Worm_casing,Worm_tube,5,195.7,397.8,301.8,106.1,1
McMullin_North,MN,McMullin,EPI_02_Cap,Cap,2,164.2,191.9,176.6,12.4,7
McMullin_North,MN,McMullin,EPI_02_Worms,Worm,2,216.1,232.4,221,4.9,3
McMullin_North,MN,McMullin,EPI_02_Worm_casing,Worm_tube,2,199.3,333.4,248.5,49.2,2
McMullin_North,MN,McMullin,EPI_02_Lil_white_blob,Unid,2,179.3,180,179.6,0.3,1
Triquet_North,TN,Triquet,EPI_06_Worms,Worm,6,204.3,211.8,207.2,2.9,4
Triquet_North,TN,Triquet,EPI_06_Cap,Cap,6,210.5,425.1,306.3,95.8,27
Triquet_North,TN,Triquet,EPI_06_Tiny_black_dots,Sm_blk_iso,6,204.1,204.8,204.5,0.4,6
Triquet_North,TN,Triquet,EPI_06_Amphi,Amphi,6,181.1,227,186.2,5.1,3
Triquet_North,TN,Triquet,EPI_06_Phylla,Phylla,6,189.3,204.9,192.6,3.3,9
Triquet_North,TN,Triquet,EPI_08_Cap,Cap,8,245.5,351.6,259.6,14.1,14
Triquet_North,TN,Triquet,EPI_08_Egg_casing,Worm_tube,8,174.8,220.1,204.7,29.9,2
Triquet_North,TN,Triquet,EPI_08_Worm,Worm,8,174.9,179.2,177.4,2.5,1
Triquet_North,TN,Triquet,EPI_08_Cuke,Cuke,8,189.8,216.2,199.1,9.3,1
Triquet_North,TN,Triquet,EPI_08_Tiny_black_dots,Sm_blk_iso,8,204.3,213.6,204.7,0.4,10
Triquet_North,TN,Triquet,EPI_08_Clam_shells,Clam,8,223.4,225.4,225,1.6,2
Triquet_North,TN,Triquet,EPI_09_Cap,Cap,9,207.2,286.1,222.1,14.9,9
Triquet_North,TN,Triquet,EPI_09_Worm,Worm,9,188.3,190,188.8,0.5,1
Triquet_North,TN,Triquet,EPI_09_Phyla,Phylla,9,168.3,175.6,172,3.7,8
Triquet_North,TN,Triquet,EPI_01_Cap,Cap,1,253.4,406.6,293.7,40.3,16
Triquet_North,TN,Triquet,EPI_01_Tiny_black_dots,Sm_blk_iso,1,184,210.6,184.7,0.7,15
Triquet_North,TN,Triquet,EPI_01_Worms,Worm,1,194.8,212.9,198.7,3.9,4
Triquet_North,TN,Triquet,EPI_01_Phylla,Phylla,1,173.7,175.8,173.8,0.1,1
Triquet_North,TN,Triquet,EPI_07_Cap,Cap,7,206,472.4,280.5,74.5,43
Triquet_North,TN,Triquet,EPI_07_Tiny_black_dots,Sm_blk_iso,7,149,183.4,149.7,0.7,12
Triquet_North,TN,Triquet,EPI_07_Worms,Worm,7,207.9,226.1,210.9,3,7
Triquet_North,TN,Triquet,EPI_07_Phyla,Phylla,7,200.5,204,201.3,0.8,3
Triquet_North,TN,Triquet,EPI_03_Cap,Cap,3,235.4,304.4,250.4,15,6
Triquet_North,TN,Triquet,EPI_03_Worm,Worm,3,203.5,206.5,203.9,0.4,1
Triquet_North,TN,Triquet,EPI_03_Worm_casing,Worm_tube,3,234.9,245.4,239.3,4.4,2
Triquet_North,TN,Triquet,EPI_03_Phylla_,Phylla,3,228.3,240.6,231.2,2.9,9
Triquet_North,TN,Triquet,EPI_03_Jelly_eggs,Phylla_eggs,3,254.1,284.7,259.3,5.2,1
Triquet_North,TN,Triquet,EPI_03_Tiny_black_dots,Sm_blk_iso,3,244.4,246,245.4,1,5
Triquet_North,TN,Triquet,EPI_02_Phylla,Phylla,2,234.6,273.1,241.9,7.3,16
Triquet_North,TN,Triquet,EPI_02_Worms_,Worm,2,252.9,265.8,254.4,1.5,3
Triquet_North,TN,Triquet,EPI_02_Jelly_eggs,Phylla_egg,2,216.6,306.3,261.4,44.8,2
Triquet_North,TN,Triquet,EPI_02_Tiny_black_dots,Sm_blk_iso,2,184.2,213,186,1.8,25
Triquet_North,TN,Triquet,EPI_02_Amphi,Amphi,2,206.4,227.3,210.1,3.7,1
Triquet_North,TN,Triquet,EPI_02_Cap,Cap,2,235.2,323.6,262.6,27.4,11
Triquet_North,TN,Triquet,EPI_04_Cap,Cap,4,233.3,309.2,264,30.7,14
Triquet_North,TN,Triquet,EPI_04_Phylla,Phylla,4,203.3,262.6,210,6.7,10
Triquet_North,TN,Triquet,EPI_04_Worms,Worm,4,205.9,228.6,209.7,3.8,3
Triquet_North,TN,Triquet,EPI_04_Stalked_jelly,Stalked_jelly,4,217.7,284,238.5,20.8,1
Triquet_North,TN,Triquet,EPI_04_Tiny_black_dots,Sm_blk_iso,4,191.6,224.6,193.6,2,19
Triquet_North,TN,Triquet,EPI_04_unknown_shell,Unid_shell,4,191.9,192.9,192.3,0.4,1
Triquet_North,TN,Triquet,EPI_05_Phylla,Phylla,5,230,412.1,255.4,25.4,21
Triquet_North,TN,Triquet,EPI_05_Worms,Worm,5,258.6,278.8,259.4,0.8,2
Triquet_North,TN,Triquet,EPI_05_Snail,Snail,5,241.6,352.9,314.8,73.2,1
Triquet_North,TN,Triquet,EPI_05_Cap,Cap,5,247.9,443,308.3,60.4,15
Triquet_North,TN,Triquet,EPI_05_Sipunc,Sipunc,5,199.4,206,199.5,0.1,1
Triquet_North,TN,Triquet,EPI_05_Tiny_black_dots,Sm_blk_iso,5,251.1,296.4,251.9,0.8,11
