Date,Site,Site_ID,Quad_No,Diver,Common,Species,Clam_Length_mm
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,46
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,31
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,42
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,45
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,32
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,41
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,35
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,40
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,43
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,28
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,29
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,24
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,20
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,48
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,30
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,20
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,30
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,27
Jul-31-2014,Goose_West,GW,1,Ondine,Littleneck,Leukoma_staminea,26
Jul-31-2014,Goose_West,GW,1,Ondine,Butter_clam,Saxidomus_gigantea,58
Jul-31-2014,Goose_West,GW,1,Ondine,Butter_clam,Saxidomus_gigantea,58
Jul-31-2014,Goose_West,GW,1,Ondine,Butter_clam,Saxidomus_gigantea,60
Jul-31-2014,Goose_West,GW,1,Ondine,Butter_clam,Saxidomus_gigantea,66
Jul-31-2014,Goose_West,GW,2,Ondine,Littleneck,Leukoma_staminea,41
Jul-31-2014,Goose_West,GW,2,Ondine,Littleneck,Leukoma_staminea,46
Jul-31-2014,Goose_West,GW,2,Ondine,Butter_clam,Saxidomus_gigantea,40
Jul-31-2014,Goose_West,GW,3,Nelson,Horse_clam,Tresus_capax,78
Jul-31-2014,Goose_West,GW,3,Nelson,Mussel,Mytilus_sp.,65
Jul-31-2014,Goose_West,GW,3,Nelson,Kennerley_venus,Humilaria_kennerleyi,51
Jul-31-2014,Goose_West,GW,3,Nelson,Kennerley_venus,Humilaria_kennerleyi,54
Jul-31-2014,Goose_West,GW,3,Nelson,Butter_clam,Saxidomus_gigantea,42
Jul-31-2014,Goose_West,GW,3,Nelson,Butter_clam,Saxidomus_gigantea,44
Jul-31-2014,Goose_West,GW,3,Nelson,Butter_clam,Saxidomus_gigantea,40
Jul-31-2014,Goose_West,GW,3,Nelson,Butter_clam,Saxidomus_gigantea,43
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,33
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,42
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,33
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,22
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,29
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,44
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,42
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,51
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,27
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,42
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,34
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,34
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,22
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,46
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,28
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,46
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,44
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,48
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,46
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,43
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,32
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,34
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,29
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,37
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,47
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,45
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,37
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,31
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,26
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,36
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,41
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,40
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,46
Jul-31-2014,Goose_West,GW,3,Nelson,Littleneck,Leukoma_staminea,34
Aug-02-2014,McMullin_North,MN,1,Megan,Cockle,Clinocardium_sp.,35
Aug-02-2014,McMullin_North,MN,1,Megan,California_Sunset_Clam,Gari_californica,35
Aug-02-2014,McMullin_North,MN,2,Megan,Butter_clam,Saxidomus_gigantea,42
Aug-02-2014,McMullin_North,MN,2,Megan,Butter_clam,Saxidomus_gigantea,28
Aug-02-2014,McMullin_North,MN,2,Megan,Butter_clam,Saxidomus_gigantea,21
Aug-04-2014,North_Triquet,NT,1,Ross,Littleneck,Leukoma_staminea,19
Aug-04-2014,North_Triquet,NT,1,Ross,Littleneck,Leukoma_staminea,28
Aug-04-2014,North_Triquet,NT,1,Ross,Cockle,Clinocardium_sp.,32
Aug-04-2014,North_Triquet,NT,2,Ross,Butter_clam,Saxidomus_gigantea,33
Aug-04-2014,North_Triquet,NT,2,Ross,Moon_snail,Neverita_lewisii,39
Aug-04-2014,North_Triquet,NT,4,Ross,Butter_clam,Saxidomus_gigantea,19
Aug-04-2014,North_Triquet,NT,4,Ross,Littleneck,Leukoma_staminea,38
