region,annual_site_ID,site,site_id,diver,epi_sample_no,bio_sample_no,density
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Megan,,6,NA
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Megan,,7,NA
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Megan,,12,NA
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Megan,,10,NA
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Megan,,13,NA
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Brent,6,,4
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Brent,2,,9
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Brent,5,,8
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Brent,1,,4
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Brent,3,,9
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Brent,4,,11
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Brent,9,,4
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Brent,7,,5
Triquet,SEA_N_Triquet_2014,Triquet_North,TN,Brent,8,,9
